kharakteristik,perkiraan revisi ribuan pekerjaan,perkiraan sebelumnya ribuan pekerjaan,merevisi ribuan pekerjaan,revisi%,perkiraan revisi perubahan % tahunan,perkiraan sebelumnya % perubahan tahunan,revisi % poin
angkutan,,,,,,,
transportasi tahun 2012,80.7,72.0,8.7,12.0,3.4,2.5,0.8
transportasi tahun 2013,83.1,73.3,9.8,13.4,3.0,1.8,1.2
transportasi tahun 2014,84.7,75.1,9.6,12.9,2.0,2.4,-0.5
transportasi tahun 2015,84.4,75.4,8.9,11.8,-0.4,0.5,-0.9
akomodasi,,,,,,,
akomodasi tahun 2012,139.6,154.4,-14.8,-9.6,0.6,0.7,0.0
akomodasi tahun 2013,140.9,156.5,-15.6,-10.0,0.9,1.3,-0.4
akomodasi tahun 2014,140.7,156.4,-15.7,-10.1,-0.1,0.0,-0.1
akomodasi tahun 2015,142.7,158.5,-15.9,-10.0,1.4,1.3,0.1
layanan makanan dan minuman,,,,,,,
jasa makanan dan minuman tahun 2012,203.0,158.5,44.6,28.1,2.7,2.7,0.0
jasa makanan dan minuman tahun 2013,210.3,164.1,46.1,28.1,3.6,3.6,0.0
jasa makanan dan minuman tahun 2014,216.4,167.5,48.9,29.2,2.9,2.1,0.9
jasa makanan dan minuman tahun 2015,221.0,171.3,49.7,29.0,2.1,2.3,-0.2
industri pariwisata lainnya,,,,,,,
industri pariwisata lainnya 2012,111.5,110.8,0.7,0.6,0.2,0.0,0.1
industri pariwisata lainnya pada tahun 2013,108.8,109.4,-0.6,-0.5,-2.4,-1.3,-1.1
industri pariwisata lainnya pada tahun 2014,109.4,111.3,-1.9,-1.7,0.5,1.7,-1.2
industri pariwisata lainnya pada tahun 2015,111.4,114.0,-2.5,-2.2,1.9,2.4,-0.5
total industri pariwisata,,,,,,,
total industri pariwisata 2012,534.8,495.7,39.1,7.9,1.7,1.4,0.3
total industri pariwisata 2013,543.0,503.3,39.7,7.9,1.5,1.5,0.0
total industri pariwisata 2014,551.2,510.3,40.9,8.0,1.5,1.4,0.1
total industri pariwisata 2015,559.4,519.2,40.2,7.7,1.5,1.7,-0.3
total industri lainnya,,,,,,,
total industri lainnya 2012,141.0,113.8,27.2,23.9,1.7,1.9,-0.3
total industri lainnya tahun 2013,144.7,115.6,29.2,25.2,2.6,1.6,1.1
total industri lainnya tahun 2014,149.1,117.3,31.8,27.1,3.0,1.5,1.6
total industri lainnya tahun 2015,149.1,118.2,30.9,26.1,0.0,0.8,-0.8
kegiatan pariwisata,,,,,,,
kegiatan pariwisata tahun 2012,675.8,609.5,66.3,10.9,1.7,1.5,0.2
kegiatan pariwisata tahun 2013,687.7,618.9,68.8,11.1,1.8,1.5,0.2
kegiatan pariwisata tahun 2014,700.3,627.6,72.7,11.6,1.8,1.4,0.4
kegiatan pariwisata tahun 2015,708.5,637.4,71.1,11.2,1.2,1.6,-0.4
