kharakteristik,provinsi atau wilayah tempat tinggal newfoundland dan labrador,provinsi atau wilayah tempat tinggal pulau pangeran edward,provinsi atau wilayah tempat tinggal nova scotia,provinsi atau wilayah tempat tinggal new brunswick,provinsi atau wilayah tempat tinggal quebec,provinsi atau wilayah tempat tinggal ontario,provinsi atau wilayah tempat tinggal manitoba,provinsi atau wilayah tempat tinggal saskatchewan,provinsi atau wilayah tempat tinggal alberta,provinsi atau wilayah tempat tinggal British Columbia,provinsi atau wilayah tempat tinggal wilayah barat laut,provinsi atau wilayah tempat tinggal yukon,provinsi atau wilayah tempat tinggal nunavut
persen pria berusia,,,,,,,,,,,,,
persen pria berusia 18 tahun ke atas,17.0,11.5,7.3,7.8,3.4,1.7,4.1,9.3,4.0,4.0,10.2,16.8,9.0
persen pria berusia 18 hingga 24 tahun,25.0,20.8,12.5,13.4,4.0,3.2,7.3,16.6,6.7,7.0,20.7,28.1,14.8
persen pria berusia 25 hingga 34 tahun,17.4,12.9,7.6,7.6,3.3,1.8,4.6,10.5,4.4,4.3,11.7,20.4,8.9
persen pria berusia 35 hingga 44 tahun,15.4,9.5,5.9,6.4,3.3,1.2,3.0,7.2,3.1,2.8,8.1,13.9,7.7
persen pria berusia 45 hingga 54 tahun,14.5,8.4,5.8,6.4,3.2,1.3,2.8,6.1,2.9,2.9,6.6,11.4,7.5
persen pria berusia 55 hingga 64 tahun,16.6,7.9,6.7,7.4,3.3,1.6,3.2,6.2,3.2,3.5,7.2,15.4,8.1
persen pria berusia 65 tahun atau lebih,20.0,8.1,8.9,10.2,4.7,2.3,4.6,7.6,4.3,7.0,,,
persen wanita berusia,,,,,,,,,,,,,
persen wanita berusia 18 tahun lebih tua,5.5,5.0,3.4,3.6,2.8,1.3,2.1,4.5,2.7,2.2,7.5,9.9,11.5
persen wanita berusia 18 hingga 24 tahun,14.7,16.8,10.5,11.2,3.5,3.1,5.4,11.7,6.1,5.6,20.2,30.3,12.5
persen wanita berusia 25 hingga 34 tahun,4.7,4.9,3.6,3.6,2.9,1.4,2.3,4.7,3.0,2.5,8.9,13.0,9.1
persen wanita berusia 35 hingga 44 tahun,3.3,2.4,1.9,2.1,2.8,0.8,1.2,2.9,1.7,1.3,4.3,5.9,10.8
persen wanita berusia 45 hingga 54 tahun,4.2,2.0,1.6,1.9,2.5,0.8,1.1,2.5,1.5,1.2,4.1,5.4,13.4
persen wanita berusia 55 hingga 64 tahun,5.5,2.3,1.9,2.1,2.2,0.9,1.2,2.5,1.5,1.5,4.7,5.8,13.9
persen wanita berusia 65 tahun atau lebih,7.6,3.4,2.8,3.5,2.7,1.3,1.8,3.7,2.2,3.4,,,
